Process File: 20,,,,,,,,
Processes: 10,,,,,,,,
Device Load: net.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01786,17.00,78,0.71,80.10,416.70
2,1,First Come First Serve,0.02387,17.00,78,0.98,209.30,316.00
1,2,First Come First Serve,0.01852,4.50,78,0.21,11.50,394.20
2,2,First Come First Serve,0.03067,4.50,78,0.53,27.20,211.30
1,1,Round Robin,0.01795,6.30,203,0.72,89.80,415.30
1,1,Round Robin,0.01821,13.30,107,0.73,91.30,405.40
1,1,Round Robin,0.01842,16.70,80,0.74,78.90,412.40
2,1,Round Robin,0.02342,6.30,203,0.96,201.60,298.90
2,1,Round Robin,0.02398,13.30,107,0.98,198.60,299.50
2,1,Round Robin,0.02387,16.70,80,0.98,213.30,311.80
1,2,Round Robin,0.01845,1.50,203,0.20,14.90,398.20
1,2,Round Robin,0.01852,3.60,107,0.19,12.10,395.70
1,2,Round Robin,0.01852,4.50,80,0.21,11.20,394.20
2,2,Round Robin,0.03175,1.50,203,0.51,27.70,206.40
2,2,Round Robin,0.03195,3.60,107,0.55,28.10,209.20
2,2,Round Robin,0.03247,4.50,80,0.64,25.90,207.90
1,1,Shortest Job First,0.01835,51.40,78,0.74,75.20,324.00
2,1,Shortest Job First,0.02208,76.20,78,0.90,125.40,213.10
1,2,Shortest Job First,0.01852,6.90,78,0.20,9.10,391.20
2,2,Shortest Job First,0.03236,11.00,78,0.58,20.50,193.00
1,1,Shortest Remaining Time First,0.01848,47.20,84,0.74,69.80,327.90
2,1,Shortest Remaining Time First,0.02123,70.20,86,0.86,126.30,213.60
1,2,Shortest Remaining Time First,0.01852,11.10,86,0.22,8.90,390.00
2,2,Shortest Remaining Time First,0.03195,20.50,90,0.54,19.80,188.10
1,1,Priority,0.01812,53.20,78,0.73,91.60,372.70
2,1,Priority,0.02278,99.70,78,0.93,156.70,252.30
1,2,Priority,0.01842,9.10,78,0.18,12.40,397.30
2,2,Priority,0.03106,13.10,78,0.57,24.30,202.30
