Process File: 3,,,,,,,,
Processes: 10,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01112,25.80,88,0.71,85.00,618.40
2,1,First Come First Serve,0.01515,25.80,88,0.97,329.60,483.40
1,2,First Come First Serve,0.01152,3.00,88,0.14,9.00,571.80
2,2,First Come First Serve,0.02041,3.80,88,0.57,15.00,299.20
1,1,Round Robin,0.01104,6.90,332,0.70,100.60,611.20
1,1,Round Robin,0.01104,14.10,158,0.70,102.10,621.30
1,1,Round Robin,0.01112,25.40,98,0.71,81.20,615.80
2,1,Round Robin,0.01479,6.90,332,0.95,311.20,470.70
2,1,Round Robin,0.01477,14.10,158,0.95,326.80,480.80
2,1,Round Robin,0.01464,25.40,98,0.94,329.20,487.40
1,2,Round Robin,0.01140,0.70,332,0.14,9.60,577.60
1,2,Round Robin,0.01148,2.10,158,0.15,9.80,570.00
1,2,Round Robin,0.01152,2.90,98,0.14,9.00,571.80
2,2,Round Robin,0.02008,0.90,332,0.49,14.70,300.70
2,2,Round Robin,0.02028,2.10,158,0.51,13.60,300.30
2,2,Round Robin,0.02123,3.70,98,0.58,16.00,299.00
1,1,Shortest Job First,0.01157,17.60,88,0.74,87.90,577.50
2,1,Shortest Job First,0.01412,33.60,88,0.90,279.20,430.70
1,2,Shortest Job First,0.01156,3.00,88,0.16,6.90,567.70
2,2,Shortest Job First,0.02137,4.80,88,0.62,14.30,293.70
1,1,Shortest Remaining Time First,0.01157,38.40,92,0.74,80.10,574.90
2,1,Shortest Remaining Time First,0.01437,67.40,98,0.92,272.60,420.40
1,2,Shortest Remaining Time First,0.01156,5.60,94,0.14,6.70,564.40
2,2,Shortest Remaining Time First,0.02079,12.30,101,0.55,13.50,290.00
1,1,Priority,0.01167,82.40,88,0.74,97.70,524.80
2,1,Priority,0.01499,166.60,88,0.96,212.00,360.00
1,2,Priority,0.01156,7.30,88,0.15,8.50,561.90
2,2,Priority,0.02096,12.20,88,0.52,19.00,290.10
