Process File: 29,,,,,,,,
Processes: 10,,,,,,,,
Device Load: dl.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01462,29.70,83,0.92,381.60,541.10
2,1,First Come First Serve,0.01531,29.70,83,0.96,407.60,524.70
1,2,First Come First Serve,0.01695,9.60,83,0.39,28.00,359.40
2,2,First Come First Serve,0.02646,9.60,83,0.82,141.50,273.70
1,1,Round Robin,0.01479,7.10,323,0.93,313.70,514.10
1,1,Round Robin,0.01473,15.60,150,0.93,352.90,520.70
1,1,Round Robin,0.01515,23.60,101,0.95,353.00,528.60
2,1,Round Robin,0.01462,7.10,323,0.92,379.70,497.80
2,1,Round Robin,0.01477,15.60,150,0.93,392.40,510.20
2,1,Round Robin,0.01531,23.60,101,0.96,400.00,523.20
1,2,Round Robin,0.01698,1.50,323,0.38,30.50,377.20
1,2,Round Robin,0.01698,4.70,150,0.41,29.90,371.00
1,2,Round Robin,0.01698,7.60,101,0.39,31.20,368.40
2,2,Round Robin,0.02632,1.50,323,0.80,121.00,254.40
2,2,Round Robin,0.02571,4.70,150,0.81,122.50,258.00
2,2,Round Robin,0.02660,7.60,101,0.83,137.10,267.50
1,1,Shortest Job First,0.01582,63.30,83,1.00,215.10,398.30
2,1,Shortest Job First,0.01548,79.60,83,0.98,241.30,358.30
1,2,Shortest Job First,0.01695,6.70,83,0.39,21.10,374.00
2,2,Shortest Job First,0.02551,6.70,83,0.80,85.00,227.00
1,1,Shortest Remaining Time First,0.01580,44.20,93,1.00,190.50,402.60
2,1,Shortest Remaining Time First,0.01495,55.30,93,0.94,243.20,359.10
1,2,Shortest Remaining Time First,0.01698,5.30,93,0.41,20.10,363.60
2,2,Shortest Remaining Time First,0.02747,4.30,98,0.86,82.50,213.00
1,1,Priority,0.01517,127.60,83,0.96,190.40,453.30
2,1,Priority,0.01517,177.40,83,0.96,252.60,376.50
1,2,Priority,0.01695,19.00,83,0.39,25.80,377.00
2,2,Priority,0.02874,55.90,83,0.90,76.90,228.90
