Process File: 39,,,,,,,,
Processes: 10,,,,,,,,
Device Load: balanced.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02217,12.80,72,0.85,150.60,273.40
2,1,First Come First Serve,0.02257,17.00,72,0.87,176.10,251.50
1,2,First Come First Serve,0.02525,2.50,72,0.34,17.80,204.50
2,2,First Come First Serve,0.03663,5.90,72,0.61,35.60,123.00
1,1,Round Robin,0.02247,4.90,212,0.86,127.10,247.40
1,1,Round Robin,0.02273,10.70,109,0.87,139.80,242.80
1,1,Round Robin,0.02262,12.80,76,0.87,139.50,263.00
2,1,Round Robin,0.02353,6.50,212,0.90,154.60,230.90
2,1,Round Robin,0.02336,13.10,109,0.90,150.60,225.70
2,1,Round Robin,0.02336,16.10,76,0.90,164.10,239.80
1,2,Round Robin,0.02525,1.00,212,0.33,22.50,202.40
1,2,Round Robin,0.02525,1.90,109,0.36,21.00,199.90
1,2,Round Robin,0.02525,2.50,76,0.34,17.70,204.40
2,2,Round Robin,0.03546,1.90,212,0.56,31.30,115.80
2,2,Round Robin,0.03559,3.70,109,0.58,33.80,117.00
2,2,Round Robin,0.03534,5.90,76,0.63,34.80,121.70
1,1,Shortest Job First,0.02326,36.90,72,0.89,90.90,204.30
2,1,Shortest Job First,0.02392,37.40,72,0.92,98.80,175.10
1,2,Shortest Job First,0.02525,6.80,72,0.36,16.30,193.90
2,2,Shortest Job First,0.03831,2.10,72,0.63,26.10,112.90
1,1,Shortest Remaining Time First,0.02278,34.90,76,0.87,83.80,184.00
2,1,Shortest Remaining Time First,0.02415,33.20,80,0.93,96.60,171.70
1,2,Shortest Remaining Time First,0.02525,7.80,82,0.36,15.10,187.20
2,2,Shortest Remaining Time First,0.03690,4.00,83,0.65,22.90,104.90
1,1,Priority,0.02128,87.90,72,0.82,142.00,273.70
2,1,Priority,0.02421,95.10,72,0.93,158.50,234.30
1,2,Priority,0.02558,10.40,72,0.32,18.70,193.90
2,2,Priority,0.03922,18.60,72,0.72,31.70,114.90
