Process File: 26,,,,,,,,
Processes: 50,,,,,,,,
Device Load: net.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01914,132.92,388,0.90,1054.62,1937.80
2,1,First Come First Serve,0.02107,132.92,388,0.99,1808.46,1910.96
1,2,First Come First Serve,0.01963,63.56,388,0.29,219.94,1733.06
2,2,First Come First Serve,0.03774,63.56,388,0.86,489.48,962.44
1,1,Round Robin,0.01893,45.76,1256,0.89,1148.48,1844.94
1,1,Round Robin,0.01898,98.10,624,0.89,1107.30,1865.92
1,1,Round Robin,0.01916,131.54,416,0.90,1063.40,1909.52
2,1,Round Robin,0.02120,45.76,1256,1.00,1622.78,1729.54
2,1,Round Robin,0.02112,98.10,624,0.99,1666.62,1769.70
2,1,Round Robin,0.02114,131.54,416,0.99,1730.82,1833.80
1,2,Round Robin,0.01951,21.42,1256,0.26,256.18,1684.40
1,2,Round Robin,0.01972,45.74,624,0.29,257.84,1682.74
1,2,Round Robin,0.01963,62.90,416,0.28,224.58,1720.68
2,2,Round Robin,0.03687,21.42,1256,0.83,522.28,920.16
2,2,Round Robin,0.03687,45.74,624,0.83,503.26,930.58
2,2,Round Robin,0.03734,62.90,416,0.86,488.86,947.68
1,1,Shortest Job First,0.01971,372.68,388,0.93,760.50,1345.94
2,1,Shortest Job First,0.02126,446.80,388,1.00,1013.84,1111.52
1,2,Shortest Job First,0.01979,111.66,388,0.29,186.80,1528.12
2,2,Shortest Job First,0.03852,172.12,388,0.90,355.86,678.88
1,1,Shortest Remaining Time First,0.01983,365.50,418,0.93,796.12,1350.68
2,1,Shortest Remaining Time First,0.02126,422.42,414,1.00,1036.54,1132.88
1,2,Shortest Remaining Time First,0.01980,109.90,426,0.31,184.64,1529.20
2,2,Shortest Remaining Time First,0.03828,166.24,462,0.89,363.72,684.98
1,1,Priority,0.01892,959.66,388,0.89,993.72,1564.70
2,1,Priority,0.02110,1157.58,388,0.99,1205.38,1304.42
1,2,Priority,0.01983,254.36,388,0.31,269.14,1622.00
2,2,Priority,0.03717,440.38,388,0.85,475.38,782.32
