Process File: 4,,,,,,,,
Processes: 25,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: flow,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01274,47.40,202,0.72,310.72,1239.80
2,1,First Come First Serve,0.01727,74.68,202,0.97,870.36,1012.20
1,2,First Come First Serve,0.01274,3.08,202,0.18,9.84,1172.44
2,2,First Come First Serve,0.02488,18.68,202,0.61,109.56,546.84
1,1,Round Robin,0.01274,14.92,753,0.72,367.36,1230.84
1,1,Round Robin,0.01274,32.52,358,0.72,346.12,1234.68
1,1,Round Robin,0.01274,47.08,228,0.72,309.04,1238.00
2,1,Round Robin,0.01717,18.32,753,0.97,868.80,1024.12
2,1,Round Robin,0.01706,42.00,358,0.96,866.08,1022.80
2,1,Round Robin,0.01714,71.24,228,0.97,873.88,1018.96
1,2,Round Robin,0.01274,0.72,753,0.17,12.60,1173.40
1,2,Round Robin,0.01274,1.72,358,0.17,12.00,1174.36
1,2,Round Robin,0.01274,2.76,228,0.18,9.68,1174.12
2,2,Round Robin,0.02475,6.12,753,0.58,130.84,553.36
2,2,Round Robin,0.02498,12.88,358,0.57,122.16,552.84
2,2,Round Robin,0.02490,17.32,228,0.64,114.72,550.08
1,1,Shortest Job First,0.01274,59.92,202,0.72,192.04,1219.12
2,1,Shortest Job First,0.01701,105.72,202,0.96,678.64,846.60
1,2,Shortest Job First,0.01274,3.00,202,0.18,9.32,1165.84
2,2,Shortest Job First,0.02485,5.00,202,0.63,64.44,558.84
1,1,Shortest Remaining Time First,0.01274,73.80,215,0.72,196.12,1197.92
2,1,Shortest Remaining Time First,0.01693,154.92,219,0.95,655.68,815.00
1,2,Shortest Remaining Time First,0.01274,45.60,219,0.19,10.36,1173.56
2,2,Shortest Remaining Time First,0.02495,23.48,236,0.62,62.56,553.64
1,1,Priority,0.01274,174.44,202,0.72,293.32,1149.04
2,1,Priority,0.01743,461.24,202,0.98,559.04,709.96
1,2,Priority,0.01274,3.80,202,0.18,8.20,1167.56
2,2,Priority,0.02468,60.32,202,0.66,104.60,534.76
