Process File: 11,,,,,,,,
Processes: 10,,,,,,,,
Device Load: io.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02597,15.80,67,0.94,191.40,274.10
2,1,First Come First Serve,0.02710,16.10,67,0.98,206.40,264.30
1,2,First Come First Serve,0.03268,4.20,67,0.49,35.60,170.60
2,2,First Come First Serve,0.04132,5.10,67,0.76,62.00,125.70
1,1,Round Robin,0.02513,6.30,179,0.90,164.40,229.50
1,1,Round Robin,0.02506,11.70,89,0.90,170.70,231.90
1,1,Round Robin,0.02538,14.50,75,0.91,181.50,251.80
2,1,Round Robin,0.02513,6.50,179,0.90,170.90,226.90
2,1,Round Robin,0.02513,12.00,89,0.90,173.00,228.90
2,1,Round Robin,0.02513,14.80,75,0.90,189.70,246.80
1,2,Round Robin,0.03279,1.20,179,0.47,30.80,154.80
1,2,Round Robin,0.03279,3.00,89,0.45,29.50,160.90
1,2,Round Robin,0.03344,3.70,75,0.53,32.20,165.20
2,2,Round Robin,0.03745,1.60,179,0.59,56.10,116.70
2,2,Round Robin,0.03788,3.40,89,0.63,60.10,117.50
2,2,Round Robin,0.03937,4.80,75,0.69,59.20,123.30
1,1,Shortest Job First,0.02381,55.30,67,0.85,101.60,165.50
2,1,Shortest Job First,0.02375,56.70,67,0.85,107.70,163.50
1,2,Shortest Job First,0.03378,8.30,67,0.56,16.10,148.20
2,2,Shortest Job First,0.03663,15.30,67,0.61,36.20,96.10
1,1,Shortest Remaining Time First,0.02370,52.20,72,0.85,105.70,165.00
2,1,Shortest Remaining Time First,0.02370,53.20,72,0.85,108.50,164.30
1,2,Shortest Remaining Time First,0.03279,8.30,88,0.55,17.60,142.60
2,2,Shortest Remaining Time First,0.03636,17.20,76,0.64,37.00,95.90
1,1,Priority,0.02451,95.50,67,0.88,140.90,230.20
2,1,Priority,0.02618,101.00,67,0.94,152.20,210.40
1,2,Priority,0.03257,16.20,67,0.49,34.20,165.30
2,2,Priority,0.04219,25.70,67,0.73,56.70,120.00
