Process File: 17,,,,,,,,
Processes: 50,,,,,,,,
Device Load: io.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02538,122.64,344,1.00,1311.64,1462.94
2,1,First Come First Serve,0.02538,125.66,344,1.00,1371.36,1442.28
1,2,First Come First Serve,0.03187,52.22,344,0.52,244.92,1041.54
2,2,First Come First Serve,0.04960,55.92,344,0.99,605.68,707.34
1,1,Round Robin,0.02538,44.92,1055,1.00,1034.82,1195.90
1,1,Round Robin,0.02538,91.50,514,1.00,1050.40,1215.10
1,1,Round Robin,0.02538,110.42,386,1.00,1216.00,1362.08
2,1,Round Robin,0.02538,44.92,1055,1.00,1108.30,1180.14
2,1,Round Robin,0.02538,91.50,514,1.00,1127.92,1200.88
2,1,Round Robin,0.02538,113.44,386,1.00,1266.58,1337.32
1,2,Round Robin,0.03183,20.20,1055,0.50,261.30,924.20
1,2,Round Robin,0.03187,39.56,514,0.51,250.18,939.92
1,2,Round Robin,0.03187,47.36,386,0.52,244.56,1015.04
2,2,Round Robin,0.04950,20.82,1055,0.97,478.30,584.88
2,2,Round Robin,0.04985,41.28,514,0.99,491.08,593.40
2,2,Round Robin,0.04931,51.16,386,0.97,566.52,660.42
1,1,Shortest Job First,0.02485,374.56,344,0.98,632.42,770.78
2,1,Shortest Job First,0.02485,391.26,344,0.98,663.64,732.64
1,2,Shortest Job First,0.03189,100.50,344,0.48,139.28,805.66
2,2,Shortest Job First,0.04643,175.04,344,0.90,290.26,387.76
1,1,Shortest Remaining Time First,0.02446,358.54,362,0.96,620.54,778.76
2,1,Shortest Remaining Time First,0.02446,376.22,362,0.96,662.82,732.28
1,2,Shortest Remaining Time First,0.03181,103.64,400,0.52,142.64,799.86
2,2,Shortest Remaining Time First,0.04550,165.78,391,0.87,287.52,386.26
1,1,Priority,0.02478,974.50,344,0.98,1105.96,1235.24
2,1,Priority,0.02530,1002.42,344,1.00,1135.78,1207.32
1,2,Priority,0.03209,233.56,344,0.53,270.74,1049.74
2,2,Priority,0.04888,458.98,344,0.96,531.10,613.56
