Process File: 37,,,,,,,,
Processes: 10,,,,,,,,
Device Load: balanced.,,,,,,,,
Arrival Times: flow,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01445,14.50,83,0.73,128.40,431.80
2,1,First Come First Serve,0.01859,16.80,83,0.94,250.30,368.40
1,2,First Come First Serve,0.01466,0.40,83,0.22,3.80,380.70
2,2,First Come First Serve,0.02415,1.10,83,0.51,37.20,209.80
1,1,Round Robin,0.01433,5.30,269,0.72,144.40,406.40
1,1,Round Robin,0.01451,10.60,129,0.73,153.40,397.50
1,1,Round Robin,0.01445,14.20,90,0.73,141.50,431.60
2,1,Round Robin,0.01733,5.70,269,0.88,216.00,342.70
2,1,Round Robin,0.01761,11.90,129,0.89,219.60,344.20
2,1,Round Robin,0.01859,16.50,90,0.94,245.10,365.70
1,2,Round Robin,0.01477,0.00,269,0.18,6.50,372.30
1,2,Round Robin,0.01477,0.40,129,0.19,5.10,372.70
1,2,Round Robin,0.01466,0.40,90,0.22,3.80,380.70
2,2,Round Robin,0.02375,0.20,269,0.44,48.70,201.30
2,2,Round Robin,0.02427,1.30,129,0.47,33.20,194.10
2,2,Round Robin,0.02404,1.10,90,0.52,40.00,202.60
1,1,Shortest Job First,0.01449,27.30,83,0.73,106.50,338.70
2,1,Shortest Job First,0.01706,33.70,83,0.86,155.70,270.10
1,2,Shortest Job First,0.01468,0.20,83,0.22,3.60,379.40
2,2,Shortest Job First,0.02513,1.00,83,0.52,32.00,184.30
1,1,Shortest Remaining Time First,0.01451,36.50,95,0.73,93.10,330.20
2,1,Shortest Remaining Time First,0.01692,44.90,90,0.85,149.80,265.10
1,2,Shortest Remaining Time First,0.01475,13.60,93,0.21,4.20,373.70
2,2,Shortest Remaining Time First,0.02457,7.20,102,0.57,22.70,183.50
1,1,Priority,0.01445,60.60,83,0.73,87.70,445.70
2,1,Priority,0.01848,114.30,83,0.93,188.90,313.30
1,2,Priority,0.01468,1.10,83,0.24,4.60,383.10
2,2,Priority,0.02717,10.70,83,0.58,36.60,199.80
