Process File: 8,,,,,,,,
Processes: 50,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01583,155.74,369,0.82,1077.78,2351.40
2,1,First Come First Serve,0.01919,156.96,369,0.99,1978.98,2099.06
1,2,First Come First Serve,0.01583,67.46,369,0.24,204.66,2230.28
2,2,First Come First Serve,0.03109,68.96,369,0.74,502.10,1168.22
1,1,Round Robin,0.01535,43.14,1373,0.79,1114.94,2322.18
1,1,Round Robin,0.01560,93.84,660,0.81,1160.88,2302.84
1,1,Round Robin,0.01575,145.72,428,0.81,1104.46,2333.56
2,1,Round Robin,0.01919,43.82,1373,0.99,1837.72,1987.04
2,1,Round Robin,0.01919,93.84,660,0.99,1869.20,2001.88
2,1,Round Robin,0.01922,146.94,428,0.99,1925.00,2049.80
1,2,Round Robin,0.01586,18.54,1373,0.23,260.88,2217.30
1,2,Round Robin,0.01586,41.48,660,0.23,246.12,2226.42
1,2,Round Robin,0.01583,62.98,428,0.23,231.66,2228.56
2,2,Round Robin,0.02983,19.36,1373,0.67,495.00,1165.46
2,2,Round Robin,0.03045,42.68,660,0.74,531.70,1144.14
2,2,Round Robin,0.03071,64.56,428,0.74,499.30,1163.34
1,1,Shortest Job First,0.01583,412.52,369,0.82,662.02,1966.70
2,1,Shortest Job First,0.01919,587.00,369,0.99,1202.42,1322.78
1,2,Shortest Job First,0.01583,119.66,369,0.24,168.52,2155.38
2,2,Shortest Job First,0.03047,189.92,369,0.73,310.50,989.44
1,1,Shortest Remaining Time First,0.01572,387.70,400,0.81,660.74,1954.18
2,1,Shortest Remaining Time First,0.01919,540.42,402,0.99,1216.90,1336.60
1,2,Shortest Remaining Time First,0.01586,116.20,397,0.24,166.76,2149.14
2,2,Shortest Remaining Time First,0.03085,183.66,431,0.75,308.64,985.12
1,1,Priority,0.01576,780.76,369,0.81,846.42,1971.88
2,1,Priority,0.01926,1167.10,369,1.00,1269.46,1389.98
1,2,Priority,0.01586,199.36,369,0.24,220.36,2149.56
2,2,Priority,0.03090,339.04,369,0.74,384.98,1007.50
