Process File: 13,,,,,,,,
Processes: 25,,,,,,,,
Device Load: io.,,,,,,,,
Arrival Times: flow,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.03272,23.84,153,0.84,112.60,299.80
2,1,First Come First Serve,0.03720,28.36,153,0.96,202.92,258.88
1,2,First Come First Serve,0.03444,0.08,153,0.30,2.24,233.84
2,2,First Come First Serve,0.05263,1.44,153,0.57,10.52,82.08
1,1,Round Robin,0.03098,10.00,353,0.80,118.84,281.16
1,1,Round Robin,0.03098,19.00,187,0.80,102.64,283.76
1,1,Round Robin,0.03272,22.60,160,0.84,116.60,290.60
2,1,Round Robin,0.03546,12.56,353,0.92,177.60,233.72
2,1,Round Robin,0.03597,22.76,187,0.93,180.44,234.84
2,1,Round Robin,0.03693,26.32,160,0.95,194.16,251.08
1,2,Round Robin,0.03444,0.04,353,0.26,2.68,231.84
1,2,Round Robin,0.03444,0.08,187,0.31,2.48,233.00
1,2,Round Robin,0.03444,0.08,160,0.30,2.24,233.84
2,2,Round Robin,0.05263,0.36,353,0.53,8.76,80.76
2,2,Round Robin,0.05297,0.72,187,0.57,7.64,77.72
2,2,Round Robin,0.05263,1.32,160,0.56,10.60,81.92
1,1,Shortest Job First,0.03129,41.00,153,0.81,71.52,194.44
2,1,Shortest Job First,0.03592,42.80,153,0.93,112.40,165.84
1,2,Shortest Job First,0.03444,0.20,153,0.29,2.12,231.64
2,2,Shortest Job First,0.05342,1.20,153,0.61,6.36,77.88
1,1,Shortest Remaining Time First,0.03109,42.16,166,0.80,66.20,197.40
2,1,Shortest Remaining Time First,0.03666,47.28,164,0.95,106.12,158.96
1,2,Shortest Remaining Time First,0.03425,2.08,166,0.27,2.60,231.44
2,2,Shortest Remaining Time First,0.05285,5.08,182,0.57,6.36,74.08
1,1,Priority,0.03272,40.28,153,0.84,93.32,319.44
2,1,Priority,0.03754,103.20,153,0.97,195.16,252.32
1,2,Priority,0.03444,0.12,153,0.30,2.32,233.64
2,2,Priority,0.05459,1.76,153,0.62,10.16,83.44
