Process File: 21,,,,,,,,
Processes: 10,,,,,,,,
Device Load: net.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.02299,10.70,78,0.94,130.60,282.00
2,1,First Come First Serve,0.02427,11.60,78,0.99,197.30,280.20
1,2,First Come First Serve,0.02415,1.00,78,0.30,4.40,219.60
2,2,First Come First Serve,0.03876,1.70,78,0.65,36.20,136.50
1,1,Round Robin,0.02315,4.20,228,0.94,115.60,277.80
1,1,Round Robin,0.02353,9.70,108,0.96,124.10,279.00
1,1,Round Robin,0.02336,10.70,80,0.95,127.90,276.30
2,1,Round Robin,0.02427,4.80,228,0.99,198.10,280.90
2,1,Round Robin,0.02427,10.70,108,0.99,197.90,280.40
2,1,Round Robin,0.02427,11.60,80,0.99,195.90,279.70
1,2,Round Robin,0.02415,0.10,228,0.25,4.30,217.50
1,2,Round Robin,0.02415,0.50,108,0.28,3.90,217.50
1,2,Round Robin,0.02415,1.00,80,0.29,4.40,219.60
2,2,Round Robin,0.03906,0.30,228,0.67,32.00,133.70
2,2,Round Robin,0.03968,1.10,108,0.72,35.80,136.20
2,2,Round Robin,0.03984,1.70,80,0.75,34.30,134.90
1,1,Shortest Job First,0.02353,28.20,78,0.96,71.10,246.30
2,1,Shortest Job First,0.02427,47.90,78,0.99,133.10,212.50
1,2,Shortest Job First,0.02415,1.00,78,0.28,4.10,219.40
2,2,Shortest Job First,0.04016,1.20,78,0.76,20.20,130.20
1,1,Shortest Remaining Time First,0.02370,19.00,83,0.97,64.40,256.20
2,1,Shortest Remaining Time First,0.02427,51.60,82,0.99,132.10,213.20
1,2,Shortest Remaining Time First,0.02415,8.40,80,0.29,2.70,217.90
2,2,Shortest Remaining Time First,0.04065,4.10,86,0.77,19.20,124.80
1,1,Priority,0.02101,64.00,78,0.86,115.60,235.50
2,1,Priority,0.02203,70.90,78,0.90,140.30,220.20
1,2,Priority,0.02415,1.50,78,0.27,5.40,218.90
2,2,Priority,0.03597,12.50,78,0.62,31.10,130.50
