Process File: 30,,,,,,,,
Processes: 10,,,,,,,,
Device Load: dl.,,,,,,,,
Arrival Times: hybrid,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01332,27.80,85,0.97,376.10,578.90
2,1,First Come First Serve,0.01332,27.80,85,0.97,451.90,580.50
1,2,First Come First Serve,0.01600,8.20,85,0.42,79.30,387.30
2,2,First Come First Serve,0.02353,8.80,85,0.84,111.30,270.40
1,1,Round Robin,0.01316,6.80,380,0.96,335.40,552.80
1,1,Round Robin,0.01312,14.30,176,0.96,347.10,568.50
1,1,Round Robin,0.01300,24.90,108,0.95,342.10,581.40
2,1,Round Robin,0.01346,7.00,380,0.98,418.30,557.60
2,1,Round Robin,0.01333,14.30,176,0.97,447.60,576.70
2,1,Round Robin,0.01359,24.90,108,0.99,445.30,581.20
1,2,Round Robin,0.01605,1.60,380,0.40,80.10,389.30
1,2,Round Robin,0.01570,4.00,176,0.36,81.40,404.90
1,2,Round Robin,0.01582,7.00,108,0.39,86.20,398.20
2,2,Round Robin,0.02222,1.90,380,0.71,93.80,272.70
2,2,Round Robin,0.02227,4.10,176,0.74,94.60,272.20
2,2,Round Robin,0.02268,7.40,108,0.77,106.60,275.20
1,1,Shortest Job First,0.01200,93.60,85,0.87,280.10,437.00
2,1,Shortest Job First,0.01323,92.90,85,0.96,285.40,414.10
1,2,Shortest Job First,0.01534,16.80,85,0.42,58.90,348.20
2,2,Shortest Job First,0.02203,20.70,85,0.76,98.60,234.40
1,1,Shortest Remaining Time First,0.01215,87.70,90,0.88,267.70,442.30
2,1,Shortest Remaining Time First,0.01366,87.60,91,1.00,289.60,419.00
1,2,Shortest Remaining Time First,0.01553,17.60,93,0.40,59.00,335.30
2,2,Shortest Remaining Time First,0.02128,23.50,97,0.69,95.70,230.80
1,1,Priority,0.01305,193.00,85,0.95,305.30,470.10
2,1,Priority,0.01287,199.90,85,0.94,322.70,453.30
1,2,Priority,0.01605,38.00,85,0.46,73.20,375.10
2,2,Priority,0.02299,46.80,85,0.81,103.90,256.30
