time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
234,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['7', '3', '9', '8', '10']","['5', '1', '2']",[None],['6']
234,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['3', '9', '8', '10']","['5', '1', '2']",['7'],['6']
235,6 finished I/O → ready queue,io_to_ready,6,IO0,"['3', '9', '8', '10', '6']","['5', '1', '2']",['7'],[None]
235,5 dispatched to IO0,dispatch_io,5,IO0,"['3', '9', '8', '10', '6']","['1', '2']",['7'],['5']
238,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,"['3', '9', '8', '10', '6', '7']","['1', '2']",[None],['5']
238,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['9', '8', '10', '6', '7']","['1', '2']",['3'],['5']
242,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['9', '8', '10', '6', '7', '3']","['1', '2']",[None],['5']
242,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['8', '10', '6', '7', '3']","['1', '2']",['9'],['5']
248,9 finished CPU → wait queue,cpu_to_io,9,CPU0,"['8', '10', '6', '7', '3']","['1', '2', '9']",[None],['5']
248,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['10', '6', '7', '3']","['1', '2', '9']",['8'],['5']
254,8 finished CPU → ready queue,cpu_to_ready,8,CPU0,"['10', '6', '7', '3', '8']","['1', '2', '9']",[None],['5']
254,10 dispatched to CPU0,dispatch_cpu,10,CPU0,"['6', '7', '3', '8']","['1', '2', '9']",['10'],['5']
255,5 finished I/O → ready queue,io_to_ready,5,IO0,"['6', '7', '3', '8', '5']","['1', '2', '9']",['10'],[None]
255,1 dispatched to IO0,dispatch_io,1,IO0,"['6', '7', '3', '8', '5']","['2', '9']",['10'],['1']
258,10 finished CPU → wait queue,cpu_to_io,10,CPU0,"['6', '7', '3', '8', '5']","['2', '9', '10']",[None],['1']
258,1 finished I/O → ready queue,io_to_ready,1,IO0,"['6', '7', '3', '8', '5', '1']","['2', '9', '10']",[None],[None]
258,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['7', '3', '8', '5', '1']","['2', '9', '10']",['6'],[None]
258,2 dispatched to IO0,dispatch_io,2,IO0,"['7', '3', '8', '5', '1']","['9', '10']",['6'],['2']
264,6 finished CPU → wait queue,cpu_to_io,6,CPU0,"['7', '3', '8', '5', '1']","['9', '10', '6']",[None],['2']
264,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['3', '8', '5', '1']","['9', '10', '6']",['7'],['2']
273,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,"['3', '8', '5', '1', '7']","['9', '10', '6']",[None],['2']
273,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['8', '5', '1', '7']","['9', '10', '6']",['3'],['2']
276,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['8', '5', '1', '7', '3']","['9', '10', '6']",[None],['2']
276,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['5', '1', '7', '3']","['9', '10', '6']",['8'],['2']
278,2 finished I/O → ready queue,io_to_ready,2,IO0,"['5', '1', '7', '3', '2']","['9', '10', '6']",['8'],[None]
278,9 dispatched to IO0,dispatch_io,9,IO0,"['5', '1', '7', '3', '2']","['10', '6']",['8'],['9']
