time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
152,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],['1'],"[None, None, None]","['4', None, None]"
152,1 dispatched to IO1,dispatch_io,1,IO1,[],[],"[None, None, None]","['4', '1', None]"
155,4 finished I/O → ready queue,io_to_ready,4,IO0,['4'],[],"[None, None, None]","[None, '1', None]"
155,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],[],"['4', None, None]","[None, '1', None]"
161,4 preempted (RR quantum expired),preempt_cpu,4,CPU0,['4'],[],"[None, None, None]","[None, '1', None]"
161,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],[],"['4', None, None]","[None, '1', None]"
165,4 finished CPU → wait queue,cpu_to_io,4,CPU0,[],['4'],"[None, None, None]","[None, '1', None]"
165,4 dispatched to IO0,dispatch_io,4,IO0,[],[],"[None, None, None]","['4', '1', None]"
173,1 finished I/O → ready queue,io_to_ready,1,IO1,['1'],[],"[None, None, None]","['4', None, None]"
173,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],"['1', None, None]","['4', None, None]"
175,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],[],"[None, None, None]","['4', None, None]"
175,4 finished I/O → ready queue,io_to_ready,4,IO0,"['1', '4']",[],"[None, None, None]","[None, None, None]"
175,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['4'],[],"['1', None, None]","[None, None, None]"
175,4 dispatched to CPU1,dispatch_cpu,4,CPU1,[],[],"['1', '4', None]","[None, None, None]"
181,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],"[None, '4', None]","[None, None, None]"
181,4 preempted (RR quantum expired),preempt_cpu,4,CPU1,"['1', '4']",[],"[None, None, None]","[None, None, None]"
181,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['4'],[],"['1', None, None]","[None, None, None]"
181,4 dispatched to CPU1,dispatch_cpu,4,CPU1,[],[],"['1', '4', None]","[None, None, None]"
185,1 finished all bursts,finished,1,CPU0,[],[],"[None, '4', None]","[None, None, None]"
186,4 finished CPU → ready queue,cpu_to_ready,4,CPU1,['4'],[],"[None, None, None]","[None, None, None]"
186,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],[],"['4', None, None]","[None, None, None]"
192,4 preempted (RR quantum expired),preempt_cpu,4,CPU0,['4'],[],"[None, None, None]","[None, None, None]"
192,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],[],"['4', None, None]","[None, None, None]"
194,4 finished CPU → wait queue,cpu_to_io,4,CPU0,[],['4'],"[None, None, None]","[None, None, None]"
194,4 dispatched to IO0,dispatch_io,4,IO0,[],[],"[None, None, None]","['4', None, None]"
207,4 finished I/O → ready queue,io_to_ready,4,IO0,['4'],[],"[None, None, None]","[None, None, None]"
207,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],[],"['4', None, None]","[None, None, None]"
208,4 finished CPU → wait queue,cpu_to_io,4,CPU0,[],['4'],"[None, None, None]","[None, None, None]"
208,4 dispatched to IO0,dispatch_io,4,IO0,[],[],"[None, None, None]","['4', None, None]"
215,4 finished all bursts,finished,4,IO0,[],[],"[None, None, None]","[None, None, None]"
