time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
8,2 added to ready queue,enqueue,2,,['2'],[],[None],[None]
8,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],[],['2'],[None]
10,3 added to ready queue,enqueue,3,,['3'],[],['2'],[None]
16,4 added to ready queue,enqueue,4,,"['3', '4']",[],['2'],[None]
35,7 added to ready queue,enqueue,7,,"['3', '4', '7']",[],['2'],[None]
41,9 added to ready queue,enqueue,9,,"['3', '4', '7', '9']",[],['2'],[None]
51,8 added to ready queue,enqueue,8,,"['3', '4', '7', '9', '8']",[],['2'],[None]
51,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['3', '4', '7', '9', '8', '2']",[],[None],[None]
51,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '7', '9', '8', '2']",[],['3'],[None]
63,6 added to ready queue,enqueue,6,,"['4', '7', '9', '8', '2', '6']",[],['3'],[None]
72,1 added to ready queue,enqueue,1,,"['4', '7', '9', '8', '2', '6', '1']",[],['3'],[None]
75,5 added to ready queue,enqueue,5,,"['4', '7', '9', '8', '2', '6', '1', '5']",[],['3'],[None]
77,10 added to ready queue,enqueue,10,,"['4', '7', '9', '8', '2', '6', '1', '5', '10']",[],['3'],[None]
82,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['4', '7', '9', '8', '2', '6', '1', '5', '10', '3']",[],[None],[None]
82,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['7', '9', '8', '2', '6', '1', '5', '10', '3']",[],['4'],[None]
89,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,"['7', '9', '8', '2', '6', '1', '5', '10', '3', '4']",[],[None],[None]
89,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['9', '8', '2', '6', '1', '5', '10', '3', '4']",[],['7'],[None]
93,7 finished CPU → wait queue,cpu_to_io,7,CPU0,"['9', '8', '2', '6', '1', '5', '10', '3', '4']",['7'],[None],[None]
93,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['8', '2', '6', '1', '5', '10', '3', '4']",['7'],['9'],[None]
93,7 dispatched to IO0,dispatch_io,7,IO0,"['8', '2', '6', '1', '5', '10', '3', '4']",[],['9'],['7']
99,9 finished CPU → wait queue,cpu_to_io,9,CPU0,"['8', '2', '6', '1', '5', '10', '3', '4']",['9'],[None],['7']
99,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['2', '6', '1', '5', '10', '3', '4']",['9'],['8'],['7']
106,8 finished CPU → ready queue,cpu_to_ready,8,CPU0,"['2', '6', '1', '5', '10', '3', '4', '8']",['9'],[None],['7']
106,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['6', '1', '5', '10', '3', '4', '8']",['9'],['2'],['7']
