time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
15,1 added to ready queue,enqueue,1,,['1'],[],[None],"[None, None, None]"
15,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],"[None, None, None]"
18,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],['1'],[None],"[None, None, None]"
18,1 dispatched to IO0,dispatch_io,1,IO0,[],[],[None],"['1', None, None]"
22,1 finished I/O → ready queue,io_to_ready,1,IO0,['1'],[],[None],"[None, None, None]"
22,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],"[None, None, None]"
26,2 added to ready queue,enqueue,2,,['2'],[],['1'],"[None, None, None]"
27,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '1']",[],[None],"[None, None, None]"
27,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],"[None, None, None]"
36,3 added to ready queue,enqueue,3,,"['1', '3']",[],['2'],"[None, None, None]"
36,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['1', '3', '2']",[],[None],"[None, None, None]"
36,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['3', '2']",[],['1'],"[None, None, None]"
44,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['3', '2']",['1'],[None],"[None, None, None]"
44,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['2'],['1'],['3'],"[None, None, None]"
44,1 dispatched to IO0,dispatch_io,1,IO0,['2'],[],['3'],"['1', None, None]"
49,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['2', '3']",[],[None],"['1', None, None]"
49,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['3'],[],['2'],"['1', None, None]"
51,4 added to ready queue,enqueue,4,,"['3', '4']",[],['2'],"['1', None, None]"
51,5 added to ready queue,enqueue,5,,"['3', '4', '5']",[],['2'],"['1', None, None]"
55,6 added to ready queue,enqueue,6,,"['3', '4', '5', '6']",[],['2'],"['1', None, None]"
55,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['3', '4', '5', '6']",['2'],[None],"['1', None, None]"
55,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '5', '6']",['2'],['3'],"['1', None, None]"
55,2 dispatched to IO1,dispatch_io,2,IO1,"['4', '5', '6']",[],['3'],"['1', '2', None]"
56,1 finished I/O → ready queue,io_to_ready,1,IO0,"['4', '5', '6', '1']",[],['3'],"[None, '2', None]"
62,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['4', '5', '6', '1']",['3'],[None],"[None, '2', None]"
62,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['5', '6', '1']",['3'],['4'],"[None, '2', None]"
62,3 dispatched to IO0,dispatch_io,3,IO0,"['5', '6', '1']",[],['4'],"['3', '2', None]"
65,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,"['5', '6', '1', '4']",[],[None],"['3', '2', None]"
65,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['6', '1', '4']",[],['5'],"['3', '2', None]"
67,7 added to ready queue,enqueue,7,,"['6', '1', '4', '7']",[],['5'],"['3', '2', None]"
74,3 finished I/O → ready queue,io_to_ready,3,IO0,"['6', '1', '4', '7', '3']",[],['5'],"[None, '2', None]"
75,5 finished CPU → ready queue,cpu_to_ready,5,CPU0,"['6', '1', '4', '7', '3', '5']",[],[None],"[None, '2', None]"
75,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['1', '4', '7', '3', '5']",[],['6'],"[None, '2', None]"
78,2 finished I/O → ready queue,io_to_ready,2,IO1,"['1', '4', '7', '3', '5', '2']",[],['6'],"[None, None, None]"
87,8 added to ready queue,enqueue,8,,"['1', '4', '7', '3', '5', '2', '8']",[],['6'],"[None, None, None]"
87,6 finished CPU → wait queue,cpu_to_io,6,CPU0,"['1', '4', '7', '3', '5', '2', '8']",['6'],[None],"[None, None, None]"
87,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['4', '7', '3', '5', '2', '8']",['6'],['1'],"[None, None, None]"
87,6 dispatched to IO0,dispatch_io,6,IO0,"['4', '7', '3', '5', '2', '8']",[],['1'],"['6', None, None]"
90,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['4', '7', '3', '5', '2', '8']",['1'],[None],"['6', None, None]"
90,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['7', '3', '5', '2', '8']",['1'],['4'],"['6', None, None]"
90,1 dispatched to IO1,dispatch_io,1,IO1,"['7', '3', '5', '2', '8']",[],['4'],"['6', '1', None]"
95,4 finished CPU → wait queue,cpu_to_io,4,CPU0,"['7', '3', '5', '2', '8']",['4'],[None],"['6', '1', None]"
95,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['3', '5', '2', '8']",['4'],['7'],"['6', '1', None]"
95,4 dispatched to IO2,dispatch_io,4,IO2,"['3', '5', '2', '8']",[],['7'],"['6', '1', '4']"
96,9 added to ready queue,enqueue,9,,"['3', '5', '2', '8', '9']",[],['7'],"['6', '1', '4']"
98,10 added to ready queue,enqueue,10,,"['3', '5', '2', '8', '9', '10']",[],['7'],"['6', '1', '4']"
99,11 added to ready queue,enqueue,11,,"['3', '5', '2', '8', '9', '10', '11']",[],['7'],"['6', '1', '4']"
101,12 added to ready queue,enqueue,12,,"['3', '5', '2', '8', '9', '10', '11', '12']",[],['7'],"['6', '1', '4']"
102,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,"['3', '5', '2', '8', '9', '10', '11', '12', '7']",[],[None],"['6', '1', '4']"
102,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['5', '2', '8', '9', '10', '11', '12', '7']",[],['3'],"['6', '1', '4']"
105,6 finished I/O → ready queue,io_to_ready,6,IO0,"['5', '2', '8', '9', '10', '11', '12', '7', '6']",[],['3'],"[None, '1', '4']"
107,13 added to ready queue,enqueue,13,,"['5', '2', '8', '9', '10', '11', '12', '7', '6', '13']",[],['3'],"[None, '1', '4']"
108,1 finished I/O → ready queue,io_to_ready,1,IO1,"['5', '2', '8', '9', '10', '11', '12', '7', '6', '13', '1']",[],['3'],"[None, None, '4']"
110,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['5', '2', '8', '9', '10', '11', '12', '7', '6', '13', '1', '3']",[],[None],"[None, None, '4']"
110,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['2', '8', '9', '10', '11', '12', '7', '6', '13', '1', '3']",[],['5'],"[None, None, '4']"
112,4 finished I/O → ready queue,io_to_ready,4,IO2,"['2', '8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4']",[],['5'],"[None, None, None]"
122,14 added to ready queue,enqueue,14,,"['2', '8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14']",[],['5'],"[None, None, None]"
123,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['2', '8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14']",['5'],[None],"[None, None, None]"
123,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14']",['5'],['2'],"[None, None, None]"
123,5 dispatched to IO0,dispatch_io,5,IO0,"['8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14']",[],['2'],"['5', None, None]"
131,5 finished I/O → ready queue,io_to_ready,5,IO0,"['8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5']",[],['2'],"[None, None, None]"
135,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['8', '9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5']",['2'],[None],"[None, None, None]"
135,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5']",['2'],['8'],"[None, None, None]"
135,2 dispatched to IO0,dispatch_io,2,IO0,"['9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5']",[],['8'],"['2', None, None]"
137,15 added to ready queue,enqueue,15,,"['9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5', '15']",[],['8'],"['2', None, None]"
139,8 finished CPU → wait queue,cpu_to_io,8,CPU0,"['9', '10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5', '15']",['8'],[None],"['2', None, None]"
139,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['10', '11', '12', '7', '6', '13', '1', '3', '4', '14', '5', '15']",['8'],['9'],"['2', None, None]"
