time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
12,1 added to ready queue,enqueue,1,,['1'],[],[None],[None]
12,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
16,2 added to ready queue,enqueue,2,,['2'],[],['1'],[None]
16,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '1']",[],[None],[None]
16,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
18,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['1', '2']",[],[None],[None]
18,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],[],['1'],[None]
21,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '1']",[],[None],[None]
21,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
25,2 preempted (RR quantum expired),preempt_cpu,2,CPU0,"['1', '2']",[],[None],[None]
25,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],[],['1'],[None]
29,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '1']",[],[None],[None]
29,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
31,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['1', '2']",[],[None],[None]
31,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],[],['1'],[None]
33,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '1']",[],[None],[None]
33,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
34,3 added to ready queue,enqueue,3,,"['1', '3']",[],['2'],[None]
35,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['1', '3']",['2'],[None],[None]
35,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['3'],['2'],['1'],[None]
35,2 dispatched to IO0,dispatch_io,2,IO0,['3'],[],['1'],['2']
39,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['3', '1']",[],[None],['2']
39,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['1'],[],['3'],['2']
43,3 preempted (RR quantum expired),preempt_cpu,3,CPU0,"['1', '3']",[],[None],['2']
43,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['3'],[],['1'],['2']
46,4 added to ready queue,enqueue,4,,"['3', '4']",[],['1'],['2']
47,5 added to ready queue,enqueue,5,,"['3', '4', '5']",[],['1'],['2']
47,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['3', '4', '5', '1']",[],[None],['2']
47,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '5', '1']",[],['3'],['2']
48,2 finished I/O → ready queue,io_to_ready,2,IO0,"['4', '5', '1', '2']",[],['3'],[None]
51,3 preempted (RR quantum expired),preempt_cpu,3,CPU0,"['4', '5', '1', '2', '3']",[],[None],[None]
51,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['5', '1', '2', '3']",[],['4'],[None]
53,4 finished CPU → wait queue,cpu_to_io,4,CPU0,"['5', '1', '2', '3']",['4'],[None],[None]
53,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['1', '2', '3']",['4'],['5'],[None]
53,4 dispatched to IO0,dispatch_io,4,IO0,"['1', '2', '3']",[],['5'],['4']
54,6 added to ready queue,enqueue,6,,"['1', '2', '3', '6']",[],['5'],['4']
57,5 preempted (RR quantum expired),preempt_cpu,5,CPU0,"['1', '2', '3', '6', '5']",[],[None],['4']
57,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '3', '6', '5']",[],['1'],['4']
58,4 finished I/O → ready queue,io_to_ready,4,IO0,"['2', '3', '6', '5', '4']",[],['1'],[None]
59,7 added to ready queue,enqueue,7,,"['2', '3', '6', '5', '4', '7']",[],['1'],[None]
60,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['2', '3', '6', '5', '4', '7']",['1'],[None],[None]
60,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['3', '6', '5', '4', '7']",['1'],['2'],[None]
60,1 dispatched to IO0,dispatch_io,1,IO0,"['3', '6', '5', '4', '7']",[],['2'],['1']
