time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
326,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],"['10', '4', '8', '7', '9']",[None],['3']
326,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['10', '4', '8', '7', '9']",['1'],['3']
331,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],"['10', '4', '8', '7', '9', '1']",[None],['3']
335,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],"['10', '4', '8', '7', '9', '1']",[None],[None]
335,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],"['10', '4', '8', '7', '9', '1']",['3'],[None]
335,10 dispatched to IO0,dispatch_io,10,IO0,[],"['4', '8', '7', '9', '1']",['3'],['10']
340,3 finished CPU → wait queue,cpu_to_io,3,CPU0,[],"['4', '8', '7', '9', '1', '3']",[None],['10']
360,10 finished I/O → ready queue,io_to_ready,10,IO0,['10'],"['4', '8', '7', '9', '1', '3']",[None],[None]
360,10 dispatched to CPU0,dispatch_cpu,10,CPU0,[],"['4', '8', '7', '9', '1', '3']",['10'],[None]
360,4 dispatched to IO0,dispatch_io,4,IO0,[],"['8', '7', '9', '1', '3']",['10'],['4']
369,10 finished CPU → ready queue,cpu_to_ready,10,CPU0,['10'],"['8', '7', '9', '1', '3']",[None],['4']
369,10 dispatched to CPU0,dispatch_cpu,10,CPU0,[],"['8', '7', '9', '1', '3']",['10'],['4']
379,10 finished CPU → wait queue,cpu_to_io,10,CPU0,[],"['8', '7', '9', '1', '3', '10']",[None],['4']
383,4 finished I/O → ready queue,io_to_ready,4,IO0,['4'],"['8', '7', '9', '1', '3', '10']",[None],[None]
383,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['8', '7', '9', '1', '3', '10']",['4'],[None]
383,8 dispatched to IO0,dispatch_io,8,IO0,[],"['7', '9', '1', '3', '10']",['4'],['8']
386,4 finished all bursts,finished,4,CPU0,[],"['7', '9', '1', '3', '10']",[None],['8']
401,8 finished I/O → ready queue,io_to_ready,8,IO0,['8'],"['7', '9', '1', '3', '10']",[None],[None]
401,8 dispatched to CPU0,dispatch_cpu,8,CPU0,[],"['7', '9', '1', '3', '10']",['8'],[None]
401,7 dispatched to IO0,dispatch_io,7,IO0,[],"['9', '1', '3', '10']",['8'],['7']
403,8 finished CPU → wait queue,cpu_to_io,8,CPU0,[],"['9', '1', '3', '10', '8']",[None],['7']
418,7 finished I/O → ready queue,io_to_ready,7,IO0,['7'],"['9', '1', '3', '10', '8']",[None],[None]
418,7 dispatched to CPU0,dispatch_cpu,7,CPU0,[],"['9', '1', '3', '10', '8']",['7'],[None]
418,9 dispatched to IO0,dispatch_io,9,IO0,[],"['1', '3', '10', '8']",['7'],['9']
425,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,['7'],"['1', '3', '10', '8']",[None],['9']
425,7 dispatched to CPU0,dispatch_cpu,7,CPU0,[],"['1', '3', '10', '8']",['7'],['9']
429,7 finished CPU → wait queue,cpu_to_io,7,CPU0,[],"['1', '3', '10', '8', '7']",[None],['9']
443,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],"['1', '3', '10', '8', '7']",[None],[None]
443,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],"['1', '3', '10', '8', '7']",['9'],[None]
443,1 dispatched to IO0,dispatch_io,1,IO0,[],"['3', '10', '8', '7']",['9'],['1']
452,1 finished I/O → ready queue,io_to_ready,1,IO0,['1'],"['3', '10', '8', '7']",['9'],[None]
452,3 dispatched to IO0,dispatch_io,3,IO0,['1'],"['10', '8', '7']",['9'],['3']
453,9 finished CPU → wait queue,cpu_to_io,9,CPU0,['1'],"['10', '8', '7', '9']",[None],['3']
453,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['10', '8', '7', '9']",['1'],['3']
457,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],"['10', '8', '7', '9']",[None],['3']
