time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
0,1 added to ready queue,enqueue,1,,['1'],[],"[None, None]",[None]
0,2 added to ready queue,enqueue,2,,"['1', '2']",[],"[None, None]",[None]
0,3 added to ready queue,enqueue,3,,"['1', '2', '3']",[],"[None, None]",[None]
0,4 added to ready queue,enqueue,4,,"['1', '2', '3', '4']",[],"[None, None]",[None]
0,5 added to ready queue,enqueue,5,,"['1', '2', '3', '4', '5']",[],"[None, None]",[None]
0,6 added to ready queue,enqueue,6,,"['1', '2', '3', '4', '5', '6']",[],"[None, None]",[None]
0,7 added to ready queue,enqueue,7,,"['1', '2', '3', '4', '5', '6', '7']",[],"[None, None]",[None]
0,8 added to ready queue,enqueue,8,,"['1', '2', '3', '4', '5', '6', '7', '8']",[],"[None, None]",[None]
0,9 added to ready queue,enqueue,9,,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",[],"[None, None]",[None]
0,10 added to ready queue,enqueue,10,,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",[],"[None, None]",[None]
0,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",[],"['1', None]",[None]
0,2 dispatched to CPU1,dispatch_cpu,2,CPU1,"['3', '4', '5', '6', '7', '8', '9', '10']",[],"['1', '2']",[None]
2,2 finished CPU → wait queue,cpu_to_io,2,CPU1,"['3', '4', '5', '6', '7', '8', '9', '10']",['2'],"['1', None]",[None]
2,3 dispatched to CPU1,dispatch_cpu,3,CPU1,"['4', '5', '6', '7', '8', '9', '10']",['2'],"['1', '3']",[None]
2,2 dispatched to IO0,dispatch_io,2,IO0,"['4', '5', '6', '7', '8', '9', '10']",[],"['1', '3']",['2']
6,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['4', '5', '6', '7', '8', '9', '10', '1']",[],"[None, '3']",['2']
6,3 finished CPU → wait queue,cpu_to_io,3,CPU1,"['4', '5', '6', '7', '8', '9', '10', '1']",['3'],"[None, None]",['2']
6,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['5', '6', '7', '8', '9', '10', '1']",['3'],"['4', None]",['2']
6,5 dispatched to CPU1,dispatch_cpu,5,CPU1,"['6', '7', '8', '9', '10', '1']",['3'],"['4', '5']",['2']
7,2 finished I/O → ready queue,io_to_ready,2,IO0,"['6', '7', '8', '9', '10', '1', '2']",['3'],"['4', '5']",[None]
7,3 dispatched to IO0,dispatch_io,3,IO0,"['6', '7', '8', '9', '10', '1', '2']",[],"['4', '5']",['3']
9,5 finished CPU → wait queue,cpu_to_io,5,CPU1,"['6', '7', '8', '9', '10', '1', '2']",['5'],"['4', None]",['3']
9,6 dispatched to CPU1,dispatch_cpu,6,CPU1,"['7', '8', '9', '10', '1', '2']",['5'],"['4', '6']",['3']
11,3 finished I/O → ready queue,io_to_ready,3,IO0,"['7', '8', '9', '10', '1', '2', '3']",['5'],"['4', '6']",[None]
11,5 dispatched to IO0,dispatch_io,5,IO0,"['7', '8', '9', '10', '1', '2', '3']",[],"['4', '6']",['5']
12,4 preempted (RR quantum expired),preempt_cpu,4,CPU0,"['7', '8', '9', '10', '1', '2', '3', '4']",[],"[None, '6']",['5']
12,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['8', '9', '10', '1', '2', '3', '4']",[],"['7', '6']",['5']
14,5 finished I/O → ready queue,io_to_ready,5,IO0,"['8', '9', '10', '1', '2', '3', '4', '5']",[],"['7', '6']",[None]
15,6 preempted (RR quantum expired),preempt_cpu,6,CPU1,"['8', '9', '10', '1', '2', '3', '4', '5', '6']",[],"['7', None]",[None]
15,8 dispatched to CPU1,dispatch_cpu,8,CPU1,"['9', '10', '1', '2', '3', '4', '5', '6']",[],"['7', '8']",[None]
16,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,"['9', '10', '1', '2', '3', '4', '5', '6', '7']",[],"[None, '8']",[None]
16,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['10', '1', '2', '3', '4', '5', '6', '7']",[],"['9', '8']",[None]
19,8 finished CPU → ready queue,cpu_to_ready,8,CPU1,"['10', '1', '2', '3', '4', '5', '6', '7', '8']",[],"['9', None]",[None]
19,10 dispatched to CPU1,dispatch_cpu,10,CPU1,"['1', '2', '3', '4', '5', '6', '7', '8']",[],"['9', '10']",[None]
20,9 finished CPU → ready queue,cpu_to_ready,9,CPU0,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",[],"[None, '10']",[None]
20,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9']",[],"['1', '10']",[None]
22,10 finished CPU → ready queue,cpu_to_ready,10,CPU1,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",[],"['1', None]",[None]
22,2 dispatched to CPU1,dispatch_cpu,2,CPU1,"['3', '4', '5', '6', '7', '8', '9', '10']",[],"['1', '2']",[None]
23,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['3', '4', '5', '6', '7', '8', '9', '10']",['1'],"[None, '2']",[None]
23,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '5', '6', '7', '8', '9', '10']",['1'],"['3', '2']",[None]
23,1 dispatched to IO0,dispatch_io,1,IO0,"['4', '5', '6', '7', '8', '9', '10']",[],"['3', '2']",['1']
24,2 finished CPU → wait queue,cpu_to_io,2,CPU1,"['4', '5', '6', '7', '8', '9', '10']",['2'],"['3', None]",['1']
24,4 dispatched to CPU1,dispatch_cpu,4,CPU1,"['5', '6', '7', '8', '9', '10']",['2'],"['3', '4']",['1']
26,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['5', '6', '7', '8', '9', '10']","['2', '3']","[None, '4']",['1']
26,4 finished CPU → wait queue,cpu_to_io,4,CPU1,"['5', '6', '7', '8', '9', '10']","['2', '3', '4']","[None, None]",['1']
26,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['6', '7', '8', '9', '10']","['2', '3', '4']","['5', None]",['1']
26,6 dispatched to CPU1,dispatch_cpu,6,CPU1,"['7', '8', '9', '10']","['2', '3', '4']","['5', '6']",['1']
30,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['7', '8', '9', '10']","['2', '3', '4', '5']","[None, '6']",['1']
30,6 finished CPU → ready queue,cpu_to_ready,6,CPU1,"['7', '8', '9', '10', '6']","['2', '3', '4', '5']","[None, None]",['1']
30,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['8', '9', '10', '6']","['2', '3', '4', '5']","['7', None]",['1']
30,8 dispatched to CPU1,dispatch_cpu,8,CPU1,"['9', '10', '6']","['2', '3', '4', '5']","['7', '8']",['1']
32,8 finished CPU → wait queue,cpu_to_io,8,CPU1,"['9', '10', '6']","['2', '3', '4', '5', '8']","['7', None]",['1']
32,9 dispatched to CPU1,dispatch_cpu,9,CPU1,"['10', '6']","['2', '3', '4', '5', '8']","['7', '9']",['1']
